algorithm,params,cluster_count,noise_ratio,min_cluster_size,sample_count,valid,silhouette_score,davies_bouldin_index,calinski_harabasz_score,objective_score
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 3, ""linkage"": ""average""}",3,0.0,2,2240,True,0.377573423469624,0.7233914918889254,13.03612514527148,0.2906158892283275
KMeans,"{""pca_components"": 3, ""n_clusters"": 4, ""n_init"": 10}",4,0.0,397,2240,True,0.33857745411889834,1.1776313816468043,2034.2376151062383,0.3552213571075758
KMeans,"{""pca_components"": 3, ""n_clusters"": 4, ""n_init"": 25}",4,0.0,397,2240,True,0.33857745411889834,1.1776313816468043,2034.2376151062383,0.3552213571075758
GaussianMixture,"{""pca_components"": 3, ""n_components"": 4, ""covariance_type"": ""full""}",4,0.0,405,2240,True,0.32175782029252187,1.2990506183893658,1827.2328687728711,0.33615544938510267
GaussianMixture,"{""pca_components"": 3, ""n_components"": 4, ""covariance_type"": ""tied""}",4,0.0,321,2240,True,0.33068147452120494,1.2064401923152481,1963.1628208139434,0.3478792666789119
GaussianMixture,"{""pca_components"": 3, ""n_components"": 4, ""covariance_type"": ""diag""}",4,0.0,450,2240,True,0.3190501818019591,1.166564627912827,1946.7692973580797,0.3422403608018723
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 4, ""linkage"": ""ward""}",4,0.0,464,2240,True,0.2914488907893116,1.1833670319209726,1836.3130268586774,0.32230695879735666
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 4, ""linkage"": ""complete""}",4,0.0,3,2240,True,0.33945396045104537,0.9582578261925663,1158.906617000556,0.2598986372705713
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 4, ""linkage"": ""average""}",4,0.0,2,2240,True,0.22528159093165173,0.8690115731733687,22.018350599789365,0.18041375905943882
KMeans,"{""pca_components"": 3, ""n_clusters"": 5, ""n_init"": 10}",5,0.0,352,2240,True,0.2783467329433672,1.2200503631942774,1844.6620900102178,0.31198205524021655
KMeans,"{""pca_components"": 3, ""n_clusters"": 5, ""n_init"": 25}",5,0.0,352,2240,True,0.2783467329433672,1.2200503631942774,1844.6620900102178,0.31198205524021655
GaussianMixture,"{""pca_components"": 3, ""n_components"": 5, ""covariance_type"": ""full""}",5,0.0,165,2240,True,0.26805930764084074,1.3273494793489817,1554.1454539409585,0.2971983369129701
GaussianMixture,"{""pca_components"": 3, ""n_components"": 5, ""covariance_type"": ""tied""}",5,0.0,115,2240,True,0.3000080332749867,1.1639754493975856,1729.7072986220571,0.32783040750071385
GaussianMixture,"{""pca_components"": 3, ""n_components"": 5, ""covariance_type"": ""diag""}",5,0.0,163,2240,True,0.2544764527381663,1.143053008829871,1601.741232788543,0.2980831104349169
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 5, ""linkage"": ""ward""}",5,0.0,256,2240,True,0.24999058756497558,1.3758625833531641,1592.7586705149834,0.2836464095561157
